epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4513.61,0.78745,0.63557,1.21648,0.94585,0.96727,0.98124,0.72199,0.93183,0.44452,1.21199,0.000367967,0.000367967,0.000367967
77,4573.09,0.77543,0.62842,1.21282,0.96302,0.91807,0.97896,0.70651,0.96766,0.48664,1.24437,0.00035382,0.00035382,0.00035382
78,4632.46,0.75679,0.59509,1.20223,0.98053,0.93606,0.97585,0.70596,0.99655,0.4833,1.2484,0.000339673,0.000339673,0.000339673
79,4691.52,0.7796,0.61868,1.20747,0.95335,0.97418,0.98391,0.71569,0.95042,0.46836,1.21518,0.000325526,0.000325526,0.000325526
80,4750.38,0.76832,0.60241,1.20508,0.95334,0.93923,0.98214,0.70746,0.97191,0.46,1.23046,0.000311379,0.000311379,0.000311379
81,4810,0.75955,0.60777,1.2044,0.98785,0.91157,0.97916,0.70986,0.97466,0.47796,1.23113,0.000297232,0.000297232,0.000297232
82,4869.75,0.74432,0.59417,1.19084,0.98388,0.91728,0.98156,0.70906,0.9624,0.47445,1.23657,0.000283085,0.000283085,0.000283085
83,4928.99,0.73942,0.5892,1.19164,0.96234,0.91717,0.98239,0.70669,0.9872,0.47581,1.27477,0.000268938,0.000268938,0.000268938
84,4988.11,0.75199,0.59173,1.19606,0.97616,0.92176,0.9846,0.70179,1.0069,0.48301,1.29267,0.000254791,0.000254791,0.000254791
85,5047.36,0.72945,0.57164,1.18187,0.94572,0.97081,0.97976,0.71165,0.97142,0.47121,1.25468,0.000240644,0.000240644,0.000240644
86,5106.56,0.74074,0.57575,1.18578,0.94599,0.96359,0.97994,0.72006,0.9711,0.46538,1.25285,0.000226497,0.000226497,0.000226497
87,5165.72,0.74644,0.58136,1.18718,0.98074,0.92599,0.97633,0.71567,0.95825,0.50734,1.22518,0.000212349,0.000212349,0.000212349
88,5225.07,0.72652,0.57713,1.18345,0.98122,0.92707,0.97719,0.69543,0.98119,0.49199,1.28051,0.000198202,0.000198202,0.000198202
89,5283.96,0.7356,0.5766,1.17922,0.97289,0.90273,0.96981,0.69857,0.97502,0.50446,1.25148,0.000184055,0.000184055,0.000184055
90,5343.06,0.71622,0.57401,1.16737,0.97858,0.92685,0.97594,0.7141,0.94195,0.47911,1.2362,0.000169908,0.000169908,0.000169908
91,5402.11,0.72392,0.4864,1.232,0.98344,0.92204,0.9773,0.69744,0.94976,0.45887,1.25213,0.000155761,0.000155761,0.000155761
92,5461.15,0.70863,0.44332,1.22455,0.96353,0.93401,0.97789,0.69698,0.96915,0.45282,1.24741,0.000141614,0.000141614,0.000141614
93,5519.86,0.67378,0.42082,1.18502,0.96346,0.9457,0.97956,0.70202,0.96019,0.45517,1.23713,0.000127467,0.000127467,0.000127467
94,5578.16,0.68345,0.42068,1.19826,0.98203,0.93026,0.97672,0.69627,0.98042,0.46126,1.26035,0.00011332,0.00011332,0.00011332
95,5636.81,0.66732,0.41897,1.17704,0.98128,0.92903,0.97246,0.69951,0.9774,0.45484,1.27989,9.91726e-05,9.91726e-05,9.91726e-05
96,5694.84,0.66598,0.40682,1.17246,0.97927,0.93198,0.96872,0.6886,0.97314,0.46171,1.27329,8.50255e-05,8.50255e-05,8.50255e-05
97,5754.12,0.66845,0.41229,1.1772,0.9795,0.92761,0.9699,0.69337,0.98706,0.47021,1.28039,7.08784e-05,7.08784e-05,7.08784e-05
98,5813.66,0.6751,0.42393,1.19354,0.98052,0.93026,0.97024,0.71064,0.96621,0.46698,1.2554,5.67313e-05,5.67313e-05,5.67313e-05
99,5873,0.66063,0.41558,1.16818,0.9796,0.93055,0.97041,0.70596,0.96663,0.46731,1.25473,4.25842e-05,4.25842e-05,4.25842e-05
100,5931.83,0.6437,0.40525,1.16342,0.9794,0.9293,0.97285,0.7079,0.96359,0.46044,1.25359,2.84371e-05,2.84371e-05,2.84371e-05
